Year,Title,Length,Director,Genre,Country,Screenings,Admissions,Gross Box Office
2008,Profissão: Repórter,LM,Michelangelo Antonioni,Drama,"FR, IT, ES",3,147,"437,00"
2008,Promessas Perigosas,LM,David Cronenberg,"Drama, Thriller, Policial","CA, GB",939,15846,"65789,05"
2008,Pular a Cerca,LM,"Tim Johnson, Karey Kirkpatrick","Comédia, Fantasia, Aventura",US,14,394,"749,68"
2008,Quando o Sol Toca na Lua,CM,Pedro Palma,Drama,PT,1,24,"72,00"
2008,Quando Tu Descendras Du Ciel,LM,Eric Guirado,Drama,FR,1,9,"12,50"
2008,Quando Uma Mulher Sobe as Escadas,LM,Mikio Naruse,Drama,JP,1,27,"84,00"
2008,Quando Viste o Teu Pai Pela Última Vez?,LM,Anand Tucker,"Drama, Biografia","IE, GB",169,1426,"5965,94"
2008,Quatro Minutos,LM,Chris Kraus,"Drama, Musical",DE,1,123,"350,00"
2008,Quatro Noites com Anna,LM,Jerzy Skolimowski,"Thriller, Policial","FR, PL",348,6035,"29575,10"
2008,Que Se Passa Doutor,LM,Peter Bogdanovich,"Romance, Comédia",US,1,10,"10,00"
2008,Quebra De Confiança,LM,Billy Ray,"Thriller, Policial",US,1,14,"24,00"
2008,Querida Wendy,LM,Thomas Vinterberg,"Drama, Comédia, Policial","US, FR, IT, DE, NL, ES, DK, GB",13,116,"347,30"
2008,Quico - O Pequeno Herói,LM,"Christopher Reeve, Colin Brady, Daniel St. Pierre","Comédia, Aventura","US, CA",21,776,"2323,76"
2008,Raça Assassina,LM,Nicholas Mastandrea,"Thriller, Terror","US, DE, ZA",541,7549,"32356,16"
2008,Rapace,CM,João Nicolau,Drama,PT,2,39,"60,00"
2008,Rapsódia em Agosto,LM,Akira Kurosawa,Drama,JP,1,70,"255,00"
2008,Rasganço,LM,Raquel Freire,Drama,"PT, FR",1,19,"0,00"
2008,Ratatui,LM,Brad Bird,"Comédia, Fantasia",US,107,4075,"9070,04"
2008,Ray,LM,Taylor Hackford,"Drama, Biografia, Artes",US,1,9,"18,75"
2008,Recordações da Casa Amarela,LM,João César Monteiro,"Drama, Comédia",PT,2,78,"221,00"
2008,Reeefer Madness - Erva Maldita,LM,Andy Fickman,"Comédia, Musical","US, DE, CA",54,225,"943,50"
2008,Renascimento,LM,Christian Volckman,"Acção, Ficção Científica","FR, LU, GB",352,5935,"29199,50"
2008,Rescue Dawn - Espírito Indomável,LM,Werner Herzog,"Aventura, Biografia, Guerra","US, LU",14,367,"940,75"
2008,Reservation Road - Traídos Pelo Destino,LM,Terry George,"Drama, Thriller, Policial","US, DE",2420,25538,"106811,25"
2008,Resident Evil 3: Extinção,LM,Russell Mulcahy,"Acção, Terror, Ficção Científica","US, FR, DE, AU, GB",5,399,"291,10"
2008,Respirar (Debaixo D'Água),CM,António Ferreira,"Drama, Thriller",PT,1,52,"156,00"
2008,Respiro,LM,Emanuele Crialese,Drama,"FR, IT",2,27,"94,50"
2008,Reviver o Passado em Brideshead,LM,Julian Jarrold,"Drama, Romance","IT, GB, MA",732,12436,"58419,73"
2008,Robôs,LM,Chris Wedge,"Comédia, Fantasia, Aventura",US,2,7,"27,50"
2008,Rosetta,LM,"Jean-Pierre Dardenne, Luc Dardenne",Drama,"FR, BE",5,63,"160,00"
2008,RRRrrrr!!!,LM,Alain Chabat,"Comédia, Policial, Ficção Científica",FR,1,236,"590,00"
2008,Ruptura,LM,Gregory Hoblit,"Thriller, Policial","US, DE",2,128,"449,00"
2008,Sabe-se Lá,LM,Jacques Rivette,"Drama, Comédia, Thriller","FR, IT, DE",5,56,"163,50"
2008,Samia,LM,Philippe Faucon,Drama,FR,1,12,"22,50"
2008,Santo António - Guerreiro De Deus,LM,Antonello Belluco,"Biografia, Épico/Histórico",IT,1,22,"0,00"
2008,Saw IV - A Revelação,LM,Darren Lynn Bousman,"Thriller, Terror","US, CA",4032,91253,"391494,75"
2008,Saw V - A Sucessão,LM,David Hackl,"Thriller, Terror","US, CA",4574,104283,"458584,36"
2008,Seda,LM,François Girard,"Drama, Romance","FR, IT, CA, JP, GB",411,5451,"24752,31"
2008,"Sedução, Conspiração",LM,Ang Lee,"Drama, Romance, Thriller","US, CN, HK, TW",624,14865,"67952,33"
2008,Segredos E Mentiras,LM,Mike Leigh,Drama,"FR, GB",4,51,"163,50"
2008,Sem Reserva,LM,Scott Hicks,"Romance, Comédia","US, AU",1,2,"6,00"
2008,Semi-Pro,LM,Kent Alterman,"Comédia, Desporto",US,887,8084,"34370,52"
2008,"Senhoras E Senhores, Maiores De 65",LM,Lilo Mangelsdorff,Musical,DE,1,64,"58,50"
2008,Sentença de Morte,LM,James Wan,"Thriller, Acção",US,1398,15867,"66187,48"
2008,Sentimento,LM,Luchino Visconti,"Drama, Romance, Épico/Histórico",IT,2,122,"353,50"
2008,Ser e Ter,LM,Nicolas Philibert,Drama,FR,1,61,"0,00"
2008,Sessão Animar,Mista,N/D,N/D,N/D,2,36,"0,00"
2008,Sexo e a Cidade,LM,Michael Patrick King,"Drama, Romance, Comédia",US,8342,233770,"1020949,15"
2008,Sexualidades,LM,Pernille Fischer Christensen,"Drama, Comédia","SE, DK",16,185,"615,50"
2008,Shine a Light,LM,Martin Scorsese,"Biografia, Concerto",US,528,6812,"29515,65"
2008,Shoot 'Em Up - Atirar A Matar,LM,Michael Davis,"Comédia, Thriller, Acção",US,36,444,"1132,80"
2008,Shrek O Terceiro,LM,"Chris Miller, Raman Hui","Comédia, Fantasia, Aventura",US,30,3341,"4211,56"
2008,Sicko,LM,Michael Moore,"Drama, Épico/Histórico",US,17,678,"1550,00"
2008,Sim!,LM,Peyton Reed,"Romance, Comédia","US, AU",1453,83044,"360232,50"
2008,Sleuth: Autópsia de um Crime,LM,Kenneth Branagh,Thriller,"US, GB",1008,13446,"57097,75"
2008,Sob o Signo da Morte,LM,Régis Wargnier,"Drama, Policial",FR,381,2160,"8714,99"
2008,Sobreviver Com Lobos,LM,Vera Belmont,Drama,"FR, DE, BE",60,520,"2265,75"
2008,"Socorro, Sou Um Peixe",LM,"Stefan Fjeldmark, Michael Hegner","Comédia, Aventura","DE, DK, IE",1,41,"123,00"
2008,Sombras - Um Filme Sonâmbulo,LM,João Trabulo,Drama,PT,1,48,"144,00"
2008,Sons Da Terra,LM,Stefan Schwietert,Drama,"DE, CH",1,47,"137,50"
2008,Sozinhas,LM,Benito Zambrano,Drama,ES,1,50,"0,00"
2008,Spartacus,LM,Stanley Kubrick,"Aventura, Acção, Biografia",US,1,23,"40,00"
